ano,mes,sigla_uf,numero_consumidores_outros,consumo_outros,numero_consumidores_residencial,consumo_residencial,numero_consumidores_comercial,consumo_comercial,numero_consumidores_industrial,consumo_industrial,total_consumidores,total_consumo,data,tendencia_residencial,tendencia_comercial,tendencia_industrial
2004,1,AC,9943.0,9428,103396.0,15778,12175.0,7895,761.0,1738,126275.0,34839,2004-01-01,240973.1052368892,165851.36928201327,511135.9824017007
2004,1,AL,14543.0,48286,577321.0,59273,42568.0,31461,2584.0,146469,637016.0,285489,2004-01-01,240973.1052368892,165851.36928201327,511135.9824017007
2004,1,AM,10118.0,47019,480619.0,84473,49055.0,49832,3363.0,93449,543155.0,274773,2004-01-01,240973.1052368892,165851.36928201327,511135.9824017007
2004,1,AP,2184.0,5939,102074.0,21780,9264.0,12164,579.0,3201,114101.0,43084,2004-01-01,240973.1052368892,165851.36928201327,511135.9824017007
2004,1,BA,212682.0,215666,3011623.0,294797,259528.0,171569,18433.0,762417,3502266.0,1444449,2004-01-01,240973.1052368892,165851.36928201327,511135.9824017007
2004,1,CE,279048.0,118826,1724128.0,165168,137793.0,95718,7060.0,139002,2148029.0,518714,2004-01-01,240973.1052368892,165851.36928201327,511135.9824017007
2004,1,DF,11952.0,73881,570609.0,114484,78547.0,93427,1752.0,29667,662860.0,311459,2004-01-01,240973.1052368892,165851.36928201327,511135.9824017007
2004,1,ES,122075.0,78392,811450.0,117209,91257.0,84819,11417.0,327232,1036199.0,607652,2004-01-01,240973.1052368892,165851.36928201327,511135.9824017007
2004,1,GO,140452.0,127096,1526158.0,199039,142693.0,97266,16255.0,207223,1825558.0,630624,2004-01-01,240973.1052368892,165851.36928201327,511135.9824017007
2004,1,MA,53151.0,49767,979489.0,88613,82831.0,40478,8881.0,558175,1124352.0,737033,2004-01-01,240973.1052368892,165851.36928201327,511135.9824017007
2004,1,MG,472339.0,375155,5050859.0,628873,558570.0,333506,72145.0,2395276,6153913.0,3732810,2004-01-01,240973.1052368892,165851.36928201327,511135.9824017007
2004,1,MS,56881.0,67601,535977.0,87676,56359.0,51890,4841.0,65748,654058.0,272915,2004-01-01,240973.1052368892,165851.36928201327,511135.9824017007
2004,1,MT,62843.0,60445,577274.0,105341,64531.0,64698,10664.0,61688,715312.0,292172,2004-01-01,240973.1052368892,165851.36928201327,511135.9824017007
2004,1,PA,26732.0,75448,1049108.0,141170,108567.0,78075,3766.0,716658,1188173.0,1011351,2004-01-01,240973.1052368892,165851.36928201327,511135.9824017007
